,Total ,male,female,urban,rural,poorest,second,middle,fourth,richest
Afghanistan,42,43,42,64,36,30,31,35,48,70
Albania,99,99,98,99,98,98,99,98,99,99
Algeria,100,100,100,100,100,99,100,100,100,100
Andorra,100,,,,,,,,,
Angola,25,25,25,33,14,10,17,27,31,55
Antigua and Barbuda,,,,,,,,,,
Argentina,100,100,100,,,99,99,100,100,100
Armenia,99,99,99,99,98,98,97,100,100,99
Australia,100,,,,,,,,,
Austria,100,,,,,,,,,
Azerbaijan,94,93,94,96,92,92,92,95,94,97
Bahamas,,,,,,,,,,
Bahrain,,,,,,,,,,
Bangladesh,20,20,20,23,19,15,19,18,20,28
Barbados,99,99,99,98,100,98,98,100,98,99
Belarus,100,,,,,,,,,
Belgium,100,,,,,,,,,
Belize,96,95,96,97,95,94,95,97,96,99
Benin,85,85,84,88,82,69,82,89,91,96
Bhutan,100,100,100,100,100,100,100,100,100,100
Bolivia (Plurinational State of),76,76,75,79,72,68,72,75,83,90
Bosnia and Herzegovina,100,100,99,99,100,100,100,100,100,99
Botswana,83,,,,,,,,,
Brazil,96,,,,,,,,,
Brunei Darussalam,,,,,,,,,,
Bulgaria,100,,,,,,,,,
Burkina Faso,77,77,77,93,74,62,69,78,86,95
Burundi,75,75,75,87,74,64,73,74,80,87
Cabo Verde,91,,,,,,,,,
Cambodia,73,74,73,84,72,59,70,75,81,87
Cameroon,66,67,65,84,53,38,57,72,85,92
Canada,100,,,,,,,,,
Central African Republic ,61,61,62,78,52,46,51,59,71,85
Chad,12,12,12,36,6,6,6,6,8,39
Chile,99,,,,,,,,,
China,,,,,,,,,,
Colombia,99,,,99,98,,,,,
Comoros,87,87,87,90,87,85,83,91,87,93
Congo,96,,,,,,,,,
Cook Islands,,,,,,,,,,
Costa Rica,100,,,,,,,,,
Côte dIvoire,65,65,65,85,54,44,60,63,80,90
Croatia,,,,,,,,,,
Cuba,100,100,100,100,100,,,,,
Cyprus,100,,,,,,,,,
Czech Republic,100,,,,,,,,,
Democratic Peoples Republic of Korea,100,100,100,100,100,,,,,
Democratic Republic of the Congo,25,24,25,30,22,16,23,24,26,38
Denmark,100,,,,,,,,,
Djibouti,92,93,91,92,84,,,,,
Dominica,,,,,,,,,,
Dominican Republic,88,88,88,90,82,73,88,93,95,98
Ecuador,94,94,94,95,91,,,,,
Egypt,99,100,99,100,99,99,100,100,99,100
El Salvador,99,99,98,98,99,98,99,98,99,99
Equatorial Guinea,54,53,54,60,47,60,41,45,54,60
Eritrea,,,,,,,,,,
Estonia,100,,,,,,,,,
Ethiopia,3,3,3,12,2,1,1,2,2,10
Fiji,,,,,,,,,,
Finland,100,,,,,,,,,
France,100,,,,,,,,,
Gabon,90,91,88,89,91,92,90,90,89,86
Gambia,72,73,71,72,72,69,74,73,70,75
Georgia,100,100,100,100,100,99,100,100,100,100
Germany,100,,,,,,,,,
Ghana,71,71,70,79,63,58,61,69,81,88
Greece,100,,,,,,,,,
Grenada,,,,,,,,,,
Guatemala,96,,,97,96,,,,,
Guinea,58,58,57,83,49,38,51,51,71,89
GuineaBissau,24,24,24,34,18,13,18,22,32,43
Guyana,89,88,89,91,88,84,87,90,93,95
Haiti,80,80,80,85,77,71,76,81,86,92
Holy See,,,,,,,,,,
Honduras,94,94,94,95,93,92,94,93,95,95
Hungary,100,,,,,,,,,
Iceland,100,,,,,,,,,
India,72,71,73,83,67,57,,,,86
Indonesia,73,,,79,65,,,,,
Iran (Islamic Republic of),99,99,99,99,98,,,,,
Iraq,99,99,99,99,99,98,99,100,100,100
Ireland,100,,,,,,,,,
Israel,100,,,,,,,,,
Italy,100,,,,,,,,,
Jamaica,100,99,100,100,99,99,99,99,100,100
Japan,100,,,,,,,,,
Jordan,99,99,99,99,100,,,,,
Kazakhstan,100,100,100,100,100,99,100,100,100,100
Kenya,67,67,66,79,61,52,59,65,77,89
Kiribati,94,95,93,95,93,93,91,95,95,94
Kuwait,,,,,,,,,,
Kyrgyzstan,98,98,98,99,97,96,98,98,98,99
Lao Peoples Democratic Republic,75,74,75,88,71,66,69,76,81,93
Latvia,100,,,,,,,,,
Lebanon,100,100,100,,,,,,,
Lesotho,43,42,44,54,40,34,37,42,47,63
Liberia,25,25,24,29,20,16,24,27,29,31
Libya,,,,,,,,,,
Liechtenstein,100,,,,,,,,,
Lithuania,100,,,,,,,,,
Luxembourg,100,,,,,,,,,
Madagascar,83,83,83,97,81,72,79,86,92,94
Malawi,67,67,67,75,66,65,66,65,68,74
Malaysia,,,,,,,,,,
Maldives,93,93,92,93,92,92,94,94,90,94
Mali,87,88,87,97,85,69,86,91,94,98
Malta,100,,,,,,,,,
Marshall Islands,96,96,96,96,96,92,95,98,95,98
Mauritania,66,,,,,,,,,
Mauritius,,,,,,,,,,
Mexico,95,96,95,96,94,83,93,95,96,99
Micronesia (Federated States of),,,,,,,,,,
Monaco,100,,,,,,,,,
Mongolia,99,99,99,99,99,99,99,99,100,100
Montenegro,99,100,99,99,100,99,99,100,100,99
Morocco,94,94,94,97,91,,,,,
Mozambique,48,48,48,51,47,42,43,48,50,60
Myanmar,81,82,81,94,78,69,76,86,91,97
Namibia,87,88,87,89,86,83,85,88,90,93
Nauru,83,79,86,,,71,83,95,75,88
Nepal,58,59,57,57,58,55,58,62,58,58
Netherlands,100,,,,,,,,,
New Zealand,100,,,,,,,,,
Nicaragua,85,,,,,,,,,
Niger,64,65,62,92,60,50,58,64,62,89
Nigeria,30,30,30,50,19,7,17,27,45,65
Niue,,,,,,,,,,
Norway,100,,,,,,,,,
Oman,,,,,,,,,,
Pakistan,34,34,33,59,23,5,19,34,53,71
Palau,,,,,,,,,,
Panama,96,95,96,98,93,90,98,99,97,97
Papua New Guinea,,,,,,,,,,
Paraguay,85,84,85,87,80,,,,,
Peru,98,,,98,96,95,97,99,99,99
Philippines,90,,,,,,,,,
Poland,100,,,,,,,,,
Portugal,100,,,,,,,,,
Qatar,100,,,,,,,,,
Republic of Korea,,,,,,,,,,
Republic of Moldova,100,99,100,100,100,99,99,100,100,100
Romania,,,,,,,,,,
Russian Federation,100,,,,,,,,,
Rwanda,56,56,56,55,56,43,53,59,66,64
Saint Kitts and Nevis,,,,,,,,,,
